Price(VND),Acreage,Area,Bedrooms,Floors,Parking,Address,District
159000000000.0,252,12x21m,7,7.0,1,"Đường Mạc Đĩnh Chi, Phường Tân Định, Hồ Chí Minh",Phường Tân Định
63000000000.0,250,10x25m,4,1.0,1,"Đường Trường Sơn, Phường Tân Sơn Nhất, Hồ Chí Minh",Phường Tân Sơn Nhất
11900000000.0,124,4x31m,4,2.0,1,"Đường Ba ĐÌnh, Phường Chánh Hưng, Hồ Chí Minh",Phường Chánh Hưng
11900000000.0,125,4x31m,5,2.0,1,"Đường Ba ĐÌnh, Phường Chánh Hưng, Hồ Chí Minh",Phường Chánh Hưng
11900000000.0,73,"4,5x17m",11,4.0,1,"Đường Dương Bá Trạc, Phường Chánh Hưng, Hồ Chí Minh",Phường Chánh Hưng
7100000000.0,85,4x23m,4,3.0,1,"Đường Hương lộ 2, Phường Bình Trị Đông, Hồ Chí Minh",Phường Bình Trị Đông
62000000000.0,122,12x20m,20,5.0,1,"Đường Nguyễn Trãi, Phường Cầu Ông Lãnh, Hồ Chí Minh",Phường Cầu Ông Lãnh
39000000000.0,137,6x24m,9,6.0,1,"Đường Hoàng Dư Khương, Phường Hòa Hưng, Hồ Chí Minh",Phường Hòa Hưng
68000000000.0,160,8x20m,6,2.0,1,"Đường Cao Thắng, Phường Hòa Hưng, Hồ Chí Minh",Phường Hòa Hưng
45000000000.0,175,9x21m,9,6.0,1,"Đường Hồ Bá Kiện, Phường Hòa Hưng, Hồ Chí Minh",Phường Hòa Hưng
8960000000.0,275,"9,5x31m",3,1.0,1,"Đường Quốc Lộ 1A, Phường An Phú Đông, Hồ Chí Minh",Phường An Phú Đông
6300000000.0,57,"4,8x12m",2,1.0,0,"Đường Bà Hom, Phường Phú Lâm, Hồ Chí Minh",Phường Phú Lâm
75000000000.0,236,"9,1x30m",2,1.0,1,"Đường Nguyễn Hữu Cảnh, Phường Thạnh Mỹ Tây, Hồ Chí Minh",Phường Thạnh Mỹ Tây
63000000000.0,120,"8,5x17m",12,7.0,1,"Đường Trần Quý Khoách, Phường Tân Định, Hồ Chí Minh",Phường Tân Định
42000000000.0,110,10x16m,5,1.0,1,"Đường Lâm Văn Bền, Phường Tân Hưng, Hồ Chí Minh",Phường Tân Hưng
58000000000.0,280,"12,5x25m",5,1.0,1,"Đường Bàu Cát, Phường Tân Bình, Hồ Chí Minh",Phường Tân Bình
250000000000.0,144,8x18m,8,6.0,1,"Đường Lê Thánh Tôn, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
35000000000.0,78,7x12m,0,5.0,1,"Đường Trường Sa, Phường Nhiêu Lộc, Hồ Chí Minh",Phường Nhiêu Lộc
50000000000.0,101,4x25m,0,4.0,1,"Đường Trần Quốc Thảo, Phường Xuân Hòa, Hồ Chí Minh",Phường Xuân Hòa
